nOrgNum,sCommonName,sFormulaMolec,source_file,sCASRegistryNum
1,4-methyl-2-oxetanone,C4H6O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2016.12.032.xml,
1,praseodymium strontium oxide silicate (Pr4SrO(SiO4)3),O13Pr4Si3Sr,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.01.002.xml,
1,"2-nitro-1,4-benzenediamine",C6H7N3O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.01.006.xml,
3,chromium,Cr,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.01.015.xml,
2,N-vinylpyrrolidone,C6H9NO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.01.014.xml,
1,4-methyl-2-nitroaniline,C7H8N2O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.02.008.xml,
1,"3,5-dimethylpyrazole",C5H8N2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.02.011.xml,
1,2-methyl-3-nitrobenzoic acid,C8H7NO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.02.017.xml,
1,1-octacosanol,C28H58O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.02.025.xml,
1,"tetrakis(2,2,6,6-tetramethyl-3,5-heptanedionato)zirconium",C44H76O8Zr,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.02.026.xml,
7,N-methylcyclohexylamine,C7H15N,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.02.023.xml,
1,1-(ethoxymethoxy)propane,C6H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.007.xml,
1,N-(3-hydroxypropyl)pyridinium dicyanamide,C10H12N4O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.004.xml,
1,"1,4-dioxane-2,5-dione",C4H4O4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.011.xml,
5,aluminum dihydrogen tripolyphosphate dihydrate,AlH6O12P3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.017.xml,
1,1-ethyl-3-(2-methoxyethyl)imidazolium dicyanamide,C10H15N5O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.016.xml,
1,Istradefylline,C20H24N4O4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.015.xml,
4,9H-fluorene-2-carbaldehyde,C14H10O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.021.xml,
2,sodium sulfate decahydrate,H20Na2O14S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.028.xml,
7,1-methyl-4-nitrobenzene,C7H7NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.029.xml,
1,sodium peroxide,Na2O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.04.003.xml,
5,rubidium,Rb,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.039.xml,
7,potassium tungsten uranium oxide (K2WU2O10),K2O10U2W,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.039.xml,
8,rubidium tungsten uranium oxide (Rb2WU2O10),O10Rb2U2W,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.039.xml,
9,cesium tungsten uranium oxide (Cs2WU2O10),Cs2O10U2W,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.03.039.xml,
3,adenine hydrochloride,C5H6ClN5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.04.005.xml,
5,sodium adeninate,C5H4N5Na,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.04.005.xml,
1,Boscalid,C18H12Cl2N2O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.04.017.xml,
1,5-phenyltetrazole,C7H6N4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.04.019.xml,
1,4-bromopyrazole,C3H3BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.005.xml,
1,3-butoxy-1-propanamine,C7H17NO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.010.xml,
2,thorium tetraluoride,F4Th,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.008.xml,
1,buckminsterfullerene,C60,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.017.xml,
1,allyltriphenylphosphonium bromide,C21H20BrP,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.020.xml,
1,2-morpholinoethyl 2-((3-(trifluoromethyl)phenyl)amino)nicotinate,C19H20F3N3O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.022.xml,
1,calcium molybdate(VI),CaMoO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.021.xml,
2,molybdenum oxide (MoO3),MoO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.021.xml,
3,uranium(VI) oxide,O3U,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.026.xml,
3,N-methylpiperidinium chloride,C6H14ClN,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.033.xml,
1,Cilostazol,C20H27N5O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.040.xml,
1,2-(1-(aminomethyl)cyclohexyl)acetic acid,C9H17NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.041.xml,
4,2-(1-(aminomethyl)cyclohexyl)acetic acid monohydrate,C9H19NO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.05.041.xml,
3,4-chlorobenzenamine,C6H6ClN,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.017.xml,
4,"1,3-benzenediamine",C6H8N2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.017.xml,
6,2-naphthalenamine,C10H9N,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.017.xml,
7,4-nitrobenzenamine,C6H6N2O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.017.xml,
5,gallium zinc oxide (ZnGa2O4),Ga2O4Zn,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.009.xml,
1,"1,2,3-propanetriol trioctanoate",C27H50O6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.012.xml,
2,"1,2,3-propanetriyl tridecanoate",C33H62O6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.012.xml,
3,"1,2,3-propanetriyl tridodecanoate",C39H74O6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.012.xml,
4,"1,2,3-propanetriyl tri(tetradecanoate)",C45H86O6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.012.xml,
7,trilinolein,C57H98O6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.012.xml,
8,trilinolenin,C57H92O6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.012.xml,
15,docosanoic acid,C22H44O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.06.012.xml,
1,2-thiophenemethanol,C5H6OS,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.008.xml,
2,(+)-cedrol,C15H26O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.018.xml,
3,"(E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol",C15H26O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.018.xml,
4,"(Z)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol",C15H26O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.018.xml,
6,zinc selenite dihydrate,H4O5SeZn,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.020.xml,
7,zinc selenite monohydrate,H2O4SeZn,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.020.xml,
8,cadmium selenite monohydrate,CdH2O4Se,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.020.xml,
8,monosodium ethyleneglycolate,C2H5NaO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.025.xml,
9,monopotassium ethylene glycolate,C2H5KO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.025.xml,
10,monorubidium ethylene glycolate,C2H5O2Rb,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.025.xml,
11,"adduct of cesium 2-hydroxyethan-1-olate and 1,2-ethanediol",C4H11CsO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.025.xml,
12,"monosodium 1,4-butylene glycolate",C4H9NaO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.025.xml,
13,"monopotassium 1,4-butylene glycolate",C4H9KO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.025.xml,
2,1-propyl-3-methylimidazolium DL-threoninate,C11H21N3O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.024.xml,
3,1-pentyl-3-methylimidazolium DL-threoninate,C13H25N3O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.024.xml,
4,1-hexyl-3-methylimidazolium DL-threoninate,C14H27N3O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.024.xml,
1,Ribavirin,C8H12N4O5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.07.027.xml,
3,1-(methoxymethoxy)-2-methylpropane,C6H14O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.006.xml,
1,sodium salicylate,C7H5NaO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.002.xml,
4,lead(II) molybdenum(VI) oxide,MoO4Pb,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.011.xml,
5,lead molybdenum oxide (Pb2MoO5),MoO5Pb2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.011.xml,
2,N-(3-chloro-4-methylphenyl)-3-selena-1-azabicyclo[3.3.1]nonan-2-imine,C14H17ClN2Se,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.012.xml,
3,N-(4-fluorophenyl)-3-selena-1-azabicyclo[3.3.1]nonan-2-imine,C13H15FN2Se,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.012.xml,
4,N-(4-isopropylphenyl)-3-selena-1-azabicyclo[3.3.1]nonan-2-imine,C16H22N2Se,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.012.xml,
6,2-phenylbenzoxazole,C13H9NO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.017.xml,
7,2-phenylbenzothiazole,C13H9NS,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.017.xml,
8,2-(2-hydroxyphenyl)benzoxazole,C13H9NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.017.xml,
9,"2-(2-hydroxyphenyl)-1,3-benzothiazole",C13H9NOS,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.017.xml,
3,1-hexyl-4-methylpyridinium bromide,C12H20BrN,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.023.xml,
4,1-butyl-4-methylpyridinium iodide,C10H16IN,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.010.xml,
4,D-arabitol,C5H12O5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.004.xml,
5,L-(-)-arabitol,C5H12O5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.004.xml,
1,1-ethyl-3-(2-methoxyethyl)imidazolium acetate,C10H18N2O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.035.xml,
2,1-ethyl-3-(2-methoxyethyl)imidazolium thiocyanate,C9H15N3OS,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.035.xml,
3,1-ethyl-3-(2-methoxyethyl)imidazolium trifluoromethanesulfonate,C9H15F3N2O4S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.035.xml,
5,1-ethyl-3-(2-methoxyethyl)imidazolium bis(trifluoromethylsulfonyl)imide,C10H15F6N3O5S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.08.035.xml,
6,N-methylpyrrole,C5H7N,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.005.xml,
7,"2,5-dimethyl-1H-pyrrole",C6H9N,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.005.xml,
8,"2,4-dimethyl-1H-pyrrole",C6H9N,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.005.xml,
4,"1,8-dimethylnaphthalene",C12H12,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.006.xml,
5,"2,6-dimethylnaphthalene",C12H12,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.006.xml,
6,"2,7-dimethylnaphthalene",C12H12,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.006.xml,
11,"dimethyl 1,3-benzenedicarboxylate",C10H10O4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.006.xml,
15,"(E)-1,2-diphenyldiazene",C12H10N2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.006.xml,
4,ethyl 2-hydroxybenzoate,C9H10O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.007.xml,
5,ethyl 3-hydroxybenzoate,C9H10O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.007.xml,
1,N-ethyl-N-methylmorpholinium dicyanamide,C9H16N4O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.014.xml,
2,4-(3-hydroxypropyl)-4-methylmorpholinium dicyanamide,C10H18N4O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.014.xml,
3,1-(3-hydroxypropyl)-3-methylimidazolium dicyanamide,C9H13N5O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.014.xml,
5,N-butyronitrilepyridinium dicyanamide,C11H11N5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.014.xml,
6,1-(3-cyanopropyl)-1-methylpyrrolidinium dicyanamide,C11H17N5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.014.xml,
1,methylammonium chloride,CH6ClN,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.026.xml,
2,methylammonium bromide,CH6BrN,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.026.xml,
3,methylammonium iodide,CH6IN,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.026.xml,
4,lead(2+) dichloride,Cl2Pb,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.026.xml,
5,lead(II) bromide,Br2Pb,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.026.xml,
6,lead(2+) diiodide,I2Pb,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.026.xml,
7,methylammonium trichloroplumbate,CH6Cl3NPb,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.026.xml,
8,methylammonium tribromoplumbate,CH6Br3NPb,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.026.xml,
9,methylammonium triiodoplumbate,CH6I3NPb,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.026.xml,
1,benzeneacetonitrile,C8H7N,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.027.xml,
2,3-phenylpropanenitrile,C9H9N,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.027.xml,
1,lithium silicide (Li15Si4),Li15Si4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.09.033.xml,
1,zinc(II) 2-ethylimidazolide,C10H14N4Zn,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.10.002.xml,
1,"1,3-didecyl-2-methylimidazolium dicyanimide",C26H47N5,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.10.003.xml,
1,holmium selenide (Ho2Se3),Ho2Se3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.10.013.xml,
1,d-Panthenol,C9H19NO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.10.014.xml,
1,"N,N-bis(2-hydroxyethyl)-N-methylbutan-1-aminium bromide",C9H22BrNO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.10.017.xml,
2,"N,N-bis(2-hydroxyethyl)-N-methylhexan-1-aminium bromide",C11H26BrNO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.10.017.xml,
3,"N,N-bis(2-hydroxyethyl)-N-methyloctan-1-aminium bromide",C13H30BrNO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.10.017.xml,
4,"N,N-bis(2-hydroxyethyl)-N-methyldecan-1-aminium bromide",C15H34BrNO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.10.017.xml,
5,"N-butyl-N,N-bis(2-hydroxyethyl)butan-1-aminium bromide",C12H28BrNO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.10.017.xml,
5,9(10H)-acridinone,C13H9NO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.002.xml,
6,N-methylacridone,C14H11NO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.002.xml,
1,sodium ((4-aminophenyl)sulfonyl)(pyrimidin-2-yl)amide,C10H9N4NaO2S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.007.xml,
2,sodium ((4-aminophenyl)sulfonyl)(4-methylpyrimidin-2-yl)amide,C11H11N4NaO2S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.007.xml,
3,"sodium ((4-aminophenyl)sulfonyl)(4,6-dimethylpyrimidin-2-yl)amide",C12H13N4NaO2S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.007.xml,
4,bismuth ferrite (Bi2Fe4O9),Bi2Fe4O9,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.015.xml,
6,ferric oxide,Fe2O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.015.xml,
1,1-methylimidazolium bromide,C4H7BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.012.xml,
9,1-methyl-3-nonylimidazolium bromide,C13H25BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.012.xml,
2,silicon dioxide,O2Si,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.018.xml,
1,diammonium magnesium sulfate hexahydrate,H20MgN2O14S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.11.016.xml,
3,1-methyl-3-octyl-1H-imidazolium perchlorate,C12H23ClN2O4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.12.007.xml,
5,1-methyl-3-octylimidazolium tetrachloroaluminate,C12H23AlCl4N2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.12.007.xml,
2,(S)-2-aminopentanoic acid,C5H11NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.12.010.xml,
3,N-(2-thiazolyl)sulfanilamide,C9H9N3O2S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.12.017.xml,
4,triphenylene,C18H12,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.12.022.xml,
5,perylene,C20H12,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.12.022.xml,
7,"dimethyl 1,4-benzenedicarboxylate",C10H10O4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.12.022.xml,
4,triethyl citrate,C12H20O7,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.12.021.xml,
5,triethyl acetyl citrate,C14H22O8,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2017.12.021.xml,
62,trihexyltetradecylphosphonium tricyanomethanide,C36H68N3P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.003.xml,
1,"(1R,2R)-cyclohexane-1,2-diamine",C6H14N2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.013.xml,
3,tetrabutylammonium butyrate,C20H43NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.009.xml,
4,tetrabutylammonium pentanoate,C21H45NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.009.xml,
5,tetrabutylammonium hexanoate,C22H47NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.009.xml,
6,tetrabutylammonium heptanoate,C23H49NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.009.xml,
7,tetrabutylammonium octanoate,C24H51NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.009.xml,
8,tetrabutylammonium decanoate,C26H55NO2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.009.xml,
2,lithium borate,B4Li2O7,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.018.xml,
6,cesium molybdate,Cs2MoO4,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.016.xml,
7,tricesium sodium molybdate,Cs3Mo2NaO8,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.016.xml,
11,5-fluoro-2-methylbenzoxazole,C8H6FNO,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.022.xml,
12,5-fluoro-2-methylbenzothiazole,C8H6FNS,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.022.xml,
1,antimony gallium yttrium oxide (SbGaY2O7),GaO7SbY2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.026.xml,
2,antimony iron yttrium oxide (SbFeY2O7),FeO7SbY2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.026.xml,
3,antimony dysprosium iron oxide (SbDy2FeO7),Dy2FeO7Sb,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.01.026.xml,
2,"1,3-diethyl-1H-imidazolium bromide",C7H13BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.001.xml,
3,1-ethyl-3-hexyl-1H-imidazolium bromide,C11H21BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.001.xml,
4,1-ethyl-3-octyl-1H-imidazolium bromide,C13H25BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.001.xml,
5,3-dodecyl-1-ethyl-1H-imidazolium bromide,C17H33BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.001.xml,
7,1-butyl-3-hexyl-1H-imidazolium bromide,C13H25BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.001.xml,
8,1-butyl-3-octyl-1H-imidazolium bromide,C15H29BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.001.xml,
9,1-butyl-3-dodecyl-1H-imidazolium bromide,C19H37BrN2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.001.xml,
1,"1,1,1,2,2,3,4,5,5,5-decafluoro-3-methoxy-4-(trifluoromethyl)pentane",C7H3F13O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.003.xml,
2,N-benzylpyridinium bis(trifluoromethylsulfonyl)amide,C14H12F6N2O4S2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.015.xml,
2,trihexyl(tetradecyl)phosphonium butyrate,C36H75O2P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.013.xml,
3,trihexyl(tetradecyl)phosphonium hexanoate,C38H79O2P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.013.xml,
4,trihexyl(tetradecyl)phosphonium octanoate,C40H83O2P,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.013.xml,
4,sodium taurocholate,C26H44NNaO7S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.019.xml,
6,calcium sodium borate (NaCaBO3),BCaNaO3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.020.xml,
7,calcium lithium borate (Li4CaB2O6),B2CaLi4O6,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.020.xml,
3,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",C10H16F4N2O3S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.017.xml,
4,"1-butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate",C11H21F4NO3S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.017.xml,
5,4-morpholineethanamine,C6H14N2O,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.03.001.xml,
1,ammonium calcium nitrate ((NH4)Ca5(NO3)11) decahydrate,Ca5H24N12O43,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.02.024.xml,
6,"imidazole-2-thiol, 1-methyl-",C4H6N2S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.03.002.xml,
7,5-amino-2-mercaptobenzimidazole,C7H7N3S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.03.002.xml,
8,"1,3-dihydro-5-methoxy-2H-benzimidazole-2-thione",C8H8N2OS,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.03.002.xml,
1,oxacyclohexadecan-2-one,C15H28O2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.03.008.xml,
5,bis(4-aminophenyl) sulfone,C12H12N2O2S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.03.010.xml,
3,"1-butyl-2,3-dimethylimidazolium trifluoromethanesulfonate",C10H17F3N2O3S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.03.031.xml,
8,tetrabutylphosphonium tris(pentafluoroethyl)trifluorophosphate,C22H36F18P2,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.03.031.xml,
1,"(E)-1-chloro-3,3,3-trifluoroprop-1-ene",C3H2ClF3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.04.001.xml,
4,methyl 2-hydroxybenzoate,C8H8O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.04.011.xml,
5,methyl 3-hydroxybenzoate,C8H8O3,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.04.011.xml,
36,diphenyl sulfone,C12H10O2S,C:\Users\harry\.thermoml\extracted_xml\10.1016\j.jct.2018.05.003.xml,
